,"運用","エリア","変圧器名称","変圧器番号","バンク数指定","バンク数","結線","接地方式（1次側）","接地方式（2次側）","正相リアクタンスZ1X[ p.u. ]","同相分タップ比TAPR[ p.u.]","タップテーブル指定","タップテーブル名称","タップテーブルタップ位置","正相抵抗指定","正相抵抗TAPI[ p.u. ]","零相定数指定Z","零相回路","π回路:零相抵抗Ｙ回路:零相接地抵抗ZOR[ p.u. ]","π回路:零相リアクタンスＹ回路:零相接地リアクタンスZOX[ p.u. ]","NF側π回路:零相接地抵抗Ｙ回路:零相抵抗ZORF[ p.u. ]","NF側π回路:零相接地リアクタンスＹ回路:零相リアクタンスZOXF[ p.u. ]","NT側π回路:零相接地抵抗Ｙ回路:零相抵抗ZORT[ p.u. ]","NT側π回路:零相接地リアクタンスＹ回路:零相リアクタンスZOXT[ p.u. ]","タップ調整用情報","変圧器電圧指定箇所","変圧器電圧指定値","タップ値上限","タップ値下限","熱容量 1[ MW ]","熱容量 2[ MW ]","熱容量 3[ MW ]","プリント出力","グラフ出力","送端側ノード名称","送端側ノード番号","送端側電圧階級[ kV ]","受端側ノード名称","受端側ノード番号","受端側電圧階級[ kV ]"
11,"運用","[エリア指定なし]","","2303","指定しない","","指定なし","","","0.072","0.9434","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2104","階級2   500.0 kV","","2203","階級3   275.0 kV"
12,"運用","[エリア指定なし]","","2304","指定しない","","指定なし","","","0.072","0.9434","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2105","階級2   500.0 kV","","2204","階級3   275.0 kV"
13,"運用","[エリア指定なし]","","2305","指定しない","","指定なし","","","0.072","0.9434","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2106","階級2   500.0 kV","","2205","階級3   275.0 kV"
14,"運用","[エリア指定なし]","","2306","指定しない","","指定なし","","","0.072","0.9434","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","2109","階級2   500.0 kV","","2206","階級3   275.0 kV"
15,"運用","[エリア指定なし]","","3001","指定しない","","指定なし","","","0.05","0.88636","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3101","階級2   500.0 kV","","3001","階級3   275.0 kV"
16,"運用","[エリア指定なし]","","3002","指定しない","","指定なし","","","0.02255","0.90278","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3102","階級2   500.0 kV","","3002","階級3   275.0 kV"
17,"運用","[エリア指定なし]","","3003","指定しない","","指定なし","","","0.04481","0.88636","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3103","階級2   500.0 kV","","3003","階級3   275.0 kV"
18,"運用","[エリア指定なし]","","3004","指定しない","","指定なし","","","0.02765","0.96491","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3201","階級3   275.0 kV","","3004","階級3   275.0 kV"
19,"運用","[エリア指定なし]","","3005","指定しない","","指定なし","","","0.0791","0.97173","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3204","階級3   275.0 kV","","3005","階級3   275.0 kV"
20,"運用","[エリア指定なし]","","3006","指定しない","","指定なし","","","0.03746","0.89041","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3107","階級2   500.0 kV","","3006","階級3   275.0 kV"
21,"運用","[エリア指定なし]","","3007","指定しない","","指定なし","","","0.04424","0.90278","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3109","階級2   500.0 kV","","3007","階級3   275.0 kV"
22,"運用","[エリア指定なし]","","3008","指定しない","","指定なし","","","0.13907","0.88636","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3110","階級2   500.0 kV","","3008","階級3   275.0 kV"
23,"運用","[エリア指定なし]","","3009","指定しない","","指定なし","","","0.07818","0.98214","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3210","階級3   275.0 kV","","3009","階級3   275.0 kV"
24,"運用","[エリア指定なし]","","3010","指定しない","","指定なし","","","0.07448","0.96491","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3209","階級3   275.0 kV","","3010","階級3   275.0 kV"
25,"運用","[エリア指定なし]","","3011","指定しない","","指定なし","","","0.0375","0.96491","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3208","階級3   275.0 kV","","3011","階級3   275.0 kV"
26,"運用","[エリア指定なし]","","3012","指定しない","","指定なし","","","0.10384","0.91122","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3117","階級2   500.0 kV","","3012","階級3   275.0 kV"
27,"運用","[エリア指定なし]","","3013","指定しない","","指定なし","","","0.15092","0.91549","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3118","階級2   500.0 kV","","3013","階級3   275.0 kV"
28,"運用","[エリア指定なし]","","3014","指定しない","","指定なし","","","0.12064","0.91981","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3119","階級2   500.0 kV","","3014","階級3   275.0 kV"
29,"運用","[エリア指定なし]","","3015","指定しない","","指定なし","","","0.2934","0.90909","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3115","階級2   500.0 kV","","3015","階級3   275.0 kV"
30,"運用","[エリア指定なし]","","3016","指定しない","","指定なし","","","0.28476","0.90698","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3125","階級2   500.0 kV","","3016","階級3   275.0 kV"
31,"運用","[エリア指定なし]","","3017","指定しない","","指定なし","","","0.01597","0.91549","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3123","階級2   500.0 kV","","3017","階級3   275.0 kV"
32,"運用","[エリア指定なし]","","3018","指定しない","","指定なし","","","0.10118","0.91743","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3124","階級2   500.0 kV","","3018","階級3   275.0 kV"
33,"運用","[エリア指定なし]","","3019","指定しない","","指定なし","","","0.1156","0.92166","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3127","階級2   500.0 kV","","3019","階級3   275.0 kV"
34,"運用","[エリア指定なし]","","3020","指定しない","","指定なし","","","0.09333","0.91122","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3129","階級2   500.0 kV","","3020","階級3   275.0 kV"
35,"運用","[エリア指定なし]","","3021","指定しない","","指定なし","","","0.02122","0.975","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3213","階級3   275.0 kV","","3021","階級3   275.0 kV"
36,"運用","[エリア指定なし]","","3022","指定しない","","指定なし","","","0.09117","0.975","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3215","階級3   275.0 kV","","3022","階級3   275.0 kV"
37,"運用","[エリア指定なし]","","3301","指定しない","","指定なし","","","0.05105","0.91743","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3106","階級2   500.0 kV","","3203","階級3   275.0 kV"
38,"運用","[エリア指定なし]","","3302","指定しない","","指定なし","","","0.02334","0.96154","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3114","階級2   500.0 kV","","3205","階級3   275.0 kV"
39,"運用","[エリア指定なし]","","3303","指定しない","","指定なし","","","0.04913","0.92593","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3111","階級2   500.0 kV","","3207","階級3   275.0 kV"
40,"運用","[エリア指定なし]","","3304","指定しない","","指定なし","","","0.07107","0.91324","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3112","階級2   500.0 kV","","3209","階級3   275.0 kV"
41,"運用","[エリア指定なし]","","3305","指定しない","","指定なし","","","0.04667","0.93897","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3112","階級2   500.0 kV","","3210","階級3   275.0 kV"
42,"運用","[エリア指定なし]","","3306","指定しない","","指定なし","","","0.03444","0.9434","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3108","階級2   500.0 kV","","3211","階級3   275.0 kV"
43,"運用","[エリア指定なし]","","3307","指定しない","","指定なし","","","0.03307","0.9901","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3128","階級2   500.0 kV","","3212","階級3   275.0 kV"
44,"運用","[エリア指定なし]","","3308","指定しない","","指定なし","","","0.04667","0.95238","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3130","階級2   500.0 kV","","3215","階級3   275.0 kV"
45,"運用","[エリア指定なし]","","3401","指定しない","","指定なし","","","0.05921","0.95238","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3115","階級2   500.0 kV","","3301","階級3   275.0 kV"
46,"運用","[エリア指定なし]","","3402","指定しない","","指定なし","","","0.0179","0.95238","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3114","階級2   500.0 kV","","3302","階級3   275.0 kV"
47,"運用","[エリア指定なし]","","3403","指定しない","","指定なし","","","0.023","0.94751","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3113","階級2   500.0 kV","","3303","階級3   275.0 kV"
48,"運用","[エリア指定なし]","","3404","指定しない","","指定なし","","","0.15207","0.94887","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3120","階級2   500.0 kV","","3304","階級3   275.0 kV"
49,"運用","[エリア指定なし]","","3405","指定しない","","指定なし","","","0.01793","0.94751","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3121","階級2   500.0 kV","","3305","階級3   275.0 kV"
50,"運用","[エリア指定なし]","","3406","指定しない","","指定なし","","","0.01084","0.95238","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3122","階級2   500.0 kV","","3306","階級3   275.0 kV"
51,"運用","[エリア指定なし]","","3407","指定しない","","指定なし","","","0.14841","0.95238","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3129","階級2   500.0 kV","","3307","階級3   275.0 kV"
52,"運用","[エリア指定なし]","","3408","指定しない","","指定なし","","","0.10396","0.9901","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3130","階級2   500.0 kV","","3308","階級3   275.0 kV"
53,"運用","[エリア指定なし]","","3409","指定しない","","指定なし","","","0.02899","0.94751","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3131","階級2   500.0 kV","","3309","階級3   275.0 kV"
54,"運用","[エリア指定なし]","","3410","指定しない","","指定なし","","","0.04667","0.91324","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3132","階級2   500.0 kV","","3310","階級3   275.0 kV"
55,"運用","[エリア指定なし]","","3412","指定しない","","指定なし","","","0.03444","0.93458","指定しない","","","指定しない","","考慮しない","","","","","","","","指定しない","","","","","","","","False","True","","3125","階級2   500.0 kV","","3312","階級3   275.0 kV"
