@需給条件,,,,,73.54451,,72.6,,,,,,,(for v1),98%,72.0736198,71.148,,調相機除去により、3206、3214ノードの情報が記載できない。この点を考慮した以下のデータセットを使用する。,,,,,"(for v2)
再エネ","P,Q",5,1.76615671,,調相機除去により、3206、3214ノードの情報が記載できない。この点を考慮した以下のデータセットを使用する。,,,
31,,3013,,1.02,0.9,0.15482,,,,,,,,0.882,0.1517236,0,0,,0.882,0.1517236,0,0,,0.820812564,0.137333007,0,0,,0.820812564,0.137333007,0,0
32,,3014,,1.02,0.82,0.15041,,,,,,,,0.8036,0.1474018,0,0,,0.8036,0.1474018,0,0,,0.747851447,0.133421118,0,0,,0.747851447,0.133421118,0,0
33,,3015,,1.02,0.55751,0.16605,,,,,,,,0.5463598,0.162729,0,0,,0.5463598,0.162729,0,0,,0.508456903,0.147294573,0,0,,0.508456903,0.147294573,0,0
34,,3016,,1.02,0.9,0.22991,,,,,,,,0.882,0.2253118,0,0,,0.882,0.2253118,0,0,,0.820812564,0.203941555,0,0,,0.820812564,0.203941555,0,0
35,,3017,,1.02,6.9,1.19633,,,,,,,,6.762,1.1724034,0,0,,6.762,1.1724034,0,0,,6.292896324,1.061203953,0,0,,6.292896324,1.061203953,0,0
36,,3018,,1.02,1,0.23476,,,,,,,,0.98,0.2300648,0,0,,0.98,0.2300648,0,0,,0.91201396,0.208243745,0,0,,0.91201396,0.208243745,0,0
37,,3019,,1.02,1.6,0.20786,,,,,,,,1.568,0.2037028,0,0,,1.568,0.2037028,0,0,,1.459222336,0.184382113,0,0,,1.459222336,0.184382113,0,0
38,,3020,,1.02,1.23,0.27837,,,,,,,,1.2054,0.2728026,0,0,,1.2054,0.2728026,0,0,,1.121777171,0.246927975,0,0,,1.121777171,0.246927975,0,0
39,,3021,,1.02,4.6,1.40118,,,,,,,,4.508,1.3731564,0,0,,4.508,1.3731564,0,0,,4.195264216,1.242916047,0,0,,4.195264216,1.242916047,0,0
40,,3022,,1.02,1.9,0.47184,,,,,,,,1.862,0.4624032,0,0,,1.862,0.4624032,0,0,,1.732826524,0.418545446,0,0,,1.732826524,0.418545446,0,0
41,,3110,,0,,,0.6,-0.6295,,,,非対象,,0,0,0.588,-0.61691,,0,0,0.588,-0.61691,,0,0,0.588,-0.61691,,0,0,0.588,-0.61691
42,,3202,,0,,,2.3,-0.95,,,,非対象,,0,0,2.254,-0.931,,0,0,2.254,-0.931,,0,0,2.254,-0.931,,0,0,2.254,-0.931
43,,3204,,0,,,1.9,0.2,,,,非対象,,0,0,1.862,0.196,,0,0,1.862,0.196,,0,0,1.862,0.196,,0,0,1.862,0.196
44,,3205,,0,,,2,0.24,,,,非対象,,0,0,1.96,0.2352,,0,0,1.96,0.2352,,0,0,1.96,0.2352,,0,0,1.96,0.2352
45,,3206,,0,,,,,,1.28,,,,0,0,0,0,,0,0,4.704,-1.220296,,0,0,0,0,,0,0,4.704,-1.220296
46,,3207,,0,,,4.8,-1.2452,,,,非対象,,0,0,4.704,-1.220296,,0,0,2.058,-0.784,,0,0,4.704,-1.220296,,0,0,2.058,-0.784
47,,3209,,0,,,2.1,-0.8,,,,非対象,,0,0,2.058,-0.784,,0,0,0.441,-0.098,,0,0,2.058,-0.784,,0,0,0.441,-0.098
48,,3210,,0,,,0.45,-0.1,,,,非対象,,0,0,0.441,-0.098,,0,0,0.539,0.069188,,0,0,0.441,-0.098,,0,0,0.539,0.069188
49,,3211,,0,,,0.55,0.0706,,,,非対象,,0,0,0.539,0.069188,,0,0,7.154,1.5092,,0,0,0.539,0.069188,,0,0,7.154,1.5092
50,,3213,,0,,,7.3,1.54,,,,非対象,,0,0,7.154,1.5092,,0,0,1.764,0.98,,0,0,7.154,1.5092,,0,0,1.764,0.98
51,,3214,,0,,,,,,0,,,,0,0,0,0,,0,0,2.548,-0.687372,,0,0,0,0,,0,0,2.548,-0.687372
52,,3215,,0,,,1.8,1,,,,非対象,,0,0,1.764,0.98,,0,0,8.33,0.612794,,0,0,1.764,0.98,,0,0,8.33,0.612794
53,,3301,,0,,,2.6,-0.7014,,,,非対象,,0,0,2.548,-0.687372,,0,0,2.842,0.15876,,0,0,2.548,-0.687372,,0,0,2.842,0.15876
54,,3302,,0,,,8.5,0.6253,,0.9035,,非対象,,0,0,8.33,0.612794,,0,0,-0.784,-0.35917,,0,0,8.33,0.612794,,0,0,-0.784,-0.35917
55,,3303,,0,,,2.9,0.162,,0.92272,,非対象,,0,0,2.842,0.15876,,0,0,5.39,0.0098,,0,0,2.842,0.15876,,0,0,5.39,0.0098
56,,3304,,0,,,-0.8,-0.3665,,,,非対象,,0,0,-0.784,-0.35917,,0,0,9.8,-0.02352,,0,0,-0.784,-0.35917,,0,0,9.8,-0.02352
57,,3305,,0,,,5.5,0.01,,1.49942,,非対象,,0,0,5.39,0.0098,,0,0,1.372,-0.7742,,0,0,5.39,0.0098,,0,0,1.372,-0.7742
58,,3306,,0,,,10,-0.024,,1.57632,,非対象,,0,0,9.8,-0.02352,,0,0,1.862,0.3626,,0,0,9.8,-0.02352,,0,0,1.862,0.3626
59,,3307,,0,,,1.4,-0.79,,,,非対象,,0,0,1.372,-0.7742,,0,0,3.626,0.882,,0,0,1.372,-0.7742,,0,0,3.626,0.882
60,,3308,,0,,,1.9,0.37,,0.40369,,非対象,,0,0,1.862,0.3626,,0,0,1.323,-0.3136,,0,0,1.862,0.3626,,0,0,1.323,-0.3136
61,,3309,,0,,,3.7,0.9,,1.61476,,非対象,,0,0,3.626,0.882,,0,0,2.401,-0.49,,0,0,3.626,0.882,,0,0,2.401,-0.49
62,,3310,,0,,,1.35,-0.32,,,,非対象,,0,0,1.323,-0.3136,,,,,,,0,0,1.323,-0.3136,,,,,
63,,3312,,0,,,2.45,-0.5,,,,非対象,,0,0,2.401,-0.49,,,,,,,0,0,2.401,-0.49,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@送電線条件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,運用/停止,送電線名称,送電線番号,回線数,送端側CB/LS,送端側開放時の状態,受端側CB/LS,受端側開放時の状態,停止状態,,,,,,,,,,,,,,,,,,,,,,,
1,運用,,2100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,運用,,2101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,運用,,2102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,運用,,2103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,運用,,2104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,運用,,2105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,運用,,2106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,運用,,2107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,運用,,2108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,運用,,2201,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,運用,,2202,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,運用,,2203,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,運用,,2204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,運用,,2205,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,運用,,2206,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,運用,,2207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,運用,,2208,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,運用,,2209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,運用,,2210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,運用,,2211,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,運用,,3101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,運用,,3102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,運用,,3103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,運用,,3104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,運用,,3105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,運用,,3106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,運用,,3107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,運用,,3108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,運用,,3109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,運用,,3110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,運用,,3111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,運用,,3112,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,運用,,3113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,運用,,3114,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,運用,,3115,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,運用,,3116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,運用,,3117,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,運用,,3118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,運用,,3119,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,運用,,3120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,運用,,3121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,運用,,3122,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,運用,,3123,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,運用,,3124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,運用,,3125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,運用,,3126,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,運用,,3127,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,運用,,3128,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,運用,,3129,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,運用,,3130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,運用,,3131,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,運用,,3132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,運用,,3133,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,運用,,3134,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,運用,,3135,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,運用,,3136,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,運用,,3137,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,運用,,3138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,運用,,3139,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,運用,,3201,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,運用,,3202,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,運用,,3203,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,運用,,3204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,運用,,3205,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,運用,,3206,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,運用,,3207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,運用,,3208,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,運用,,3209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@変圧器条件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,変圧器名称,変圧器番号,タップ比指定方法,タップ比  [ p.u. ],タップテーブルタップ位置,変圧器電圧指定値 [ p.u. ],バンク数,CB/LS送端側,開放時の状態送端側,CB/LS受端側,開放時の状態受端側,直角相分タップ比[ 度 ],,,,,,,,,,,,,,,,,,,,
1,,2001,直接指定,0.91635,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
2,,2002,直接指定,0.90698,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
3,,2003,直接指定,0.90698,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
4,,2004,直接指定,0.94079,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
5,,2005,直接指定,0.94079,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
6,,2006,直接指定,0.94079,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
7,,2007,直接指定,0.94079,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
8,,2008,直接指定,0.93099,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
9,,2301,直接指定,0.94787,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
10,,2302,直接指定,0.94787,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
11,,2303,直接指定,0.9434,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
12,,2304,直接指定,0.9434,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
13,,2305,直接指定,0.9434,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
14,,2306,直接指定,0.9434,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
15,,3001,直接指定,0.88636,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
16,,3002,直接指定,0.90278,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
17,,3003,直接指定,0.88636,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
18,,3004,直接指定,0.96491,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
19,,3005,直接指定,0.97173,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
20,,3006,直接指定,0.89041,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
21,,3007,直接指定,0.90278,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
22,,3008,直接指定,0.88636,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
23,,3009,直接指定,0.98214,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
24,,3010,直接指定,0.96491,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
25,,3011,直接指定,0.96491,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
26,,3012,直接指定,0.91122,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
27,,3013,直接指定,0.91549,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
28,,3014,直接指定,0.91981,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
29,,3015,直接指定,0.90909,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
30,,3016,直接指定,0.90698,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
31,,3017,直接指定,0.91549,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
32,,3018,直接指定,0.91743,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
33,,3019,直接指定,0.92166,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
34,,3020,直接指定,0.91122,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
35,,3021,直接指定,0.975,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
36,,3022,直接指定,0.975,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
37,,3301,直接指定,0.91743,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
38,,3302,直接指定,0.96154,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
39,,3303,直接指定,0.92593,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
40,,3304,直接指定,0.91324,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
41,,3305,直接指定,0.93897,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
42,,3306,直接指定,0.9434,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
43,,3307,直接指定,0.9901,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
44,,3308,直接指定,0.95238,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
45,,3401,直接指定,0.95238,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
46,,3402,直接指定,0.95238,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
47,,3403,直接指定,0.94751,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
48,,3404,直接指定,0.94887,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
49,,3405,直接指定,0.94751,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
50,,3406,直接指定,0.95238,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
51,,3407,直接指定,0.95238,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
52,,3408,直接指定,0.9901,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
53,,3409,直接指定,0.94751,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
54,,3410,直接指定,0.91324,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
55,,3412,直接指定,0.93458,,,,投入,,投入,,,,,,,,,,,,,,,,,,,,,,
