,Operation,Generator Name,Connection Node Number,Connection Node Name,Voltage Level,Axis Type,Rated Capacity [MVA],Rated Output [MW],Inertia Constant MG [sec MVA Base],Governor Operating Margin,Governor Operating Margin PLM [Machine MW Base %],Axis Damping Constant,Axis Damping Constant DG,Cross Compound Machine,Cross Compound Machine Reactive Power QKGT [p.u.],Governor Locked Torque Constant,Governor Locked Torque Constant TQCN,Generator Representation Type LGT,Standard Constants,Unset Constants,Standard Constant Type NGT,Pumped Storage Setting Flag,Rated Capacity (Pumped Storage) [MVA],Rated Output (Pumped Storage) [MW],Unsaturated Synchronous Reactance D-axis Xd [p.u.],Saturated Synchronous Reactance D-axis Xd [p.u.],Unsaturated Transient Reactance D-axis Xd' [p.u.],Saturated Transient Reactance D-axis Xd' [p.u.],Unsaturated Subtransient Reactance D-axis Xd'' [p.u.],Saturated Subtransient Reactance D-axis Xd'' [p.u.],Transient Time Constant D-axis Td' [seq],Subtransient Time Constant D-axis Td'' [seq],Open Circuit Time Constant D-axis Tdo' [seq],Open Circuit Initial Time Constant D-axis Tdo'' [seq],Unsaturated Synchronous Reactance Q-axis Xq [p.u.],Saturated Synchronous Reactance Q-axis Xq [p.u.],Unsaturated Transient Reactance Q-axis Xq' [p.u.],Saturated Transient Reactance Q-axis Xq' [p.u.],Unsaturated Subtransient Reactance Q-axis Xq'' [p.u.],Saturated Subtransient Reactance Q-axis Xq'' [p.u.],Transient Time Constant Q-axis Tq' [seq],Subtransient Time Constant Q-axis Tq'' [seq],Open Circuit Time Constant Q-axis Tqo' [seq],Open Circuit Initial Time Constant Q-axis Tqo'' [seq],Unsaturated Armature Leakage Reactance Xl [p.u.],Saturated Armature Leakage Reactance Xl [p.u.],Armature Time Constant Ta [sec],Armature Resistance Ra [p.u.],Unsaturated Negative Sequence Reactance X2 [p.u.],Saturated Negative Sequence Reactance X2 [p.u.],Unsaturated Zero Sequence Reactance X0 [p.u.],Saturated Zero Sequence Reactance X0 [p.u.],AVR Type LAT,AVR Constants NAT,AVR Settings,AVR Comments,GOV Type LPT,GOV Constants NPT,GOV Comments,Format NST,Format NSTQ,Excitation System Type KHFLG1,Initial Rotational Speed Deviation VPSG [p.u.],Initial Governor Valve Opening VPYA [p.u.],Waterway Constant VPGAL [gA/L],Voltage Conversion Coefficient VPRMCY,Transformer Reactance VPXTCY [p.u.],Field Short Circuit Resistance VPRSOV [p.u.],Full Characteristic Data KHFLG2,Converter Capacity VPVACY [MVA],Rotational Speed and Guide Vane Opening Table KHFLG3,Phase Detection Delay Time VPDTCY [s],Control System Specification Method,Control Method KHFLG6,Current Setting Limiter VPCSMX,Constant Current Control Gain VPGPCY,Constant Current Control Time Constant VPTICY,Constant Current Control Integrator Limiter / Advance Time Constant VPVSMX/VPGFCY,Field Current Limiter VPVFMX,Full Characteristic Data Output KHFLG7,Active Power Max [p.u.] (System Base),Active Power Min [p.u.] (System Base),Reactive Power Max [p.u.] (System Base),Reactive Power Min [p.u.] (System Base),Slope Reactance [p.u.] (System Base),Generator Print Output,Generator Graph Output,AVR Print Output,AVR Graph Output,GOV Print Output,GOV Graph Output
11,Operation,G11,3003,,Class3   275.0 kV,tandem plane,5010,4500,7.184,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.625,1.625,0.298,0.298,0.247,0.247,0.972,0.031,5.3,0.038,1.625,1.625,,,0.247,0.247,,0.02,1,0.038,0.173,0.173,0.32,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,5.01,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
12,Operation,G12,3004,,Class3   275.0 kV,tandem plane,4100,3700,7.49,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.67,1.67,0.375,0.375,0.285,0.285,1.549,0.03,6.9,0.039,1.61,1.61,,,0.285,0.285,,0.02,1.44,0.062,0.205,0.205,0.25,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,4.1,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
13,Operation,G13,3005,,Class3   275.0 kV,tandem plane,2947,2400,7.5,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.552,1.552,0.2372,0.2372,0.1981,0.1981,0.764,0.031,5,0.037,1.52,1.52,,,0.18,0.18,,0.02,1.04,0.054,0.157,0.157,0.231,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.947,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
14,Operation,G14,3006,,Class3   275.0 kV,tandem plane,4173,3700,6.912,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.566,1.566,0.297,0.297,0.243,0.243,1.138,0.03,6,0.037,1.566,1.566,,,0.243,0.243,,0.02,0.73,0.037,0.17,0.17,0.274,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,4.173,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
15,Operation,G15,3007,,Class3   275.0 kV,tandem plane,5568,5000,12,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.724,1.724,0.262,0.262,0.183,0.183,0.903,0.023,5.944,0.033,1.688,1.688,,,0.182,0.182,,0.02,0.437,0.07,0.151,0.151,0.406,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,5.568,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
16,Operation,G16,3008,,Class3   275.0 kV,tandem plane,3955,3400,7.52,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.552,1.552,0.2372,0.2372,0.1981,0.1981,0.764,0.031,5,0.037,1.52,1.52,,,0.18,0.18,,0.02,1.04,0.054,0.157,0.157,0.231,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,3.955,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
17,Operation,G17,3009,,Class3   275.0 kV,tandem plane,2800,2400,6.581,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.53,1.53,0.225,0.225,0.18,0.18,0.735,0.03,5,0.037,1.52,1.52,,,0.205,0.205,,0.02,1.04,0.054,0.157,0.157,0.15,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.8,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
18,Operation,G18,3010,,Class3   275.0 kV,tandem plane,2974,2430,7.303,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.5,1.5,0.276,0.276,0.209,0.209,1.098,0.02,5.97,0.021,1.5,1.5,,,0.252,0.252,,0.02,0.66,0.029,0.182,0.182,0.4,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.974,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
19,Operation,G19,3011,,Class3   275.0 kV,tandem plane,3296,2880,12,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.86,1.86,0.288,0.288,0.255,0.255,0.945,0.02,6.1,0.017,1.82,1.82,,,0.252,0.252,,0.02,0.68,0.026,0.211,0.211,0.52,0,0.254,0.254,0.112,0.112,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,3.296,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
20,Operation,G20,3012,,Class3   275.0 kV,tandem plane,1170,1050,10.02,Setup,0,Not set,,,,Not set,,4,Not used,,,Not set,,,1.143,1.143,0.2802,0.2802,0.1732,0.1732,2.733,0.062,11.15,0.1,0.78,0.78,,,0.17,0.17,,0.076,0,0.35,0.09,0.09,0.24,0,,,,,1,standard constant,separately excited type,,4,standard constant,,,,,,,,,,,,,,,,,,,,,,,1.17,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
21,Operation,G21,3013,,Class3   275.0 kV,tandem plane,1120,1000,10.6,Setup,0,Not set,,,,Not set,,4,Not used,,,Not set,,,1.08,1.08,0.223,0.223,0.166,0.166,3.613,0.042,17.5,0.056,0.75,0.75,,,0.17,0.17,,0.036,0,0.16,0.08,0.08,0.342,0,,,,,1,standard constant,separately excited type,,4,standard constant,,,,,,,,,,,,,,,,,,,,,,,1.12,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
22,Operation,G22,3014,,Class3   275.0 kV,tandem plane,1030,900,8.78,Setup,0,Not set,,,,Not set,,4,Not used,,,Not set,,,1.139,1.139,0.3666,0.3666,0.2969,0.2969,3.051,0.057,9.48,0.07,0.79,0.79,,,0.3054,0.3054,,0.062,0,0.16,0.15,0.15,0.395,0,,,,,1,standard constant,separately excited type,,4,standard constant,,,,,,,,,,,,,,,,,,,,,,,1.03,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
23,Operation,G23,3015,,Class3   275.0 kV,tandem plane,750,675,10.92,Setup,0,Not set,,,,Not set,,4,Not used,,,Not set,,,1.27,1.27,0.29,0.29,0.19,0.19,2.74,0.033,12,0.05,0.87,0.87,,,0.16,0.16,,0.051,,0.28,0.09,0.09,0.38,0,,,,,1,standard constant,separately excited type,,4,standard constant,,,,,,,,,,,,,,,,,,,,,,,0.75,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
24,Operation,G24,3016,,Class3   275.0 kV,tandem plane,1340,1200,13.2,Setup,0,Not set,,,,Not set,,4,Not used,,,Not set,,,1.24,1.24,0.355,0.355,0.247,0.247,2.674,0.02,9.34,0.029,0.85,0.85,,,0.2,0.2,,0.068,,0.29,0.1,0.1,0.37,0,,,,,1,standard constant,separately excited type,,4,standard constant,,,,,,,,,,,,,,,,,,,,,,,1.34,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
25,Operation,G25,3017,,Class3   275.0 kV,tandem plane,8280,7112,7.18,Setup,-10,Not set,,,,Not set,,4,Not used,,,,,,1.516,1.516,0.4187,0.4187,0.3042,0.3042,1.906,0.028,6.9,0.039,1.516,1.516,,,0.285,0.285,,0.02,1.44,0.062,0.205,0.205,0.315,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,8.28,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
26,Operation,G26,3018,,Class3   275.0 kV,tandem plane,1820,1600,10.34,Setup,0,Not set,,,,Not set,,4,Not used,,,Not set,,,1.13,1.13,0.28,0.28,0.18,0.18,2.75,0.055,11.1,0.086,0.8,0.8,,,0.2,0.2,,0.052,0,0.21,0.13,0.13,0.35,0,,,,,1,standard constant,separately excited type,,4,standard constant,,,,,,,,,,,,,,,,,,,,,,,1.82,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
27,Operation,G27,3019,,Class3   275.0 kV,tandem plane,2386,2148,9.72,Setup,0,Not set,,,,Not set,,4,Not used,,,Not set,,,1.078,1.078,0.309,0.309,0.207,0.207,4.214,0.029,14.7,0.043,0.63,0.63,,,0.237,0.237,,0.03,0,0.079,0.107,0.107,0.37,0,,,,,1,standard constant,separately excited type,,4,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.386,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
28,Operation,G28,3020,,Class3   275.0 kV,tandem plane,2800,2500,9.72,Setup,0,Not set,,,,Not set,,4,Not used,,,Not set,,,1.078,1.078,0.309,0.309,0.207,0.207,4.214,0.029,14.7,0.043,0.63,0.63,,,0.237,0.237,,0.03,0,0.079,0.107,0.107,0.37,0,,,,,1,standard constant,separately excited type,,4,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.8,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
29,Operation,G29,3021,,Class3   275.0 kV,tandem plane,5500,5000,7.5,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.552,1.552,0.2372,0.2372,0.1981,0.1981,0.764,0.031,5,0.037,1.52,1.52,,,0.18,0.18,,0.02,,0.054,0.157,0.157,0.231,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,5.5,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
30,Operation,G30,3022,,Class3   275.0 kV,tandem plane,2320,2000,6.79,Setup,5,Not set,,,,Not set,,4,Not used,,,,,,1.62,1.62,0.297,0.297,0.2422,0.2422,1.465,0.022,7.99,0.027,1.59,1.59,,,0.2422,0.2422,,0.02,,0.063,0.194,0.194,0.2,0,,,,,1,standard constant,separately excited type,,1,standard constant,,,,,,,,,,,,,,,,,,,,,,,2.32,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
