,"運用","エリア","ノード名称","ノード番号","電圧階級","潮流多根解析の'-'モード設定","負荷（PL, QL）を定インピーダンス特性とする","零相","実数分接地アドミタンス","虚数分接地アドミタンス","ノードの負荷特性を考慮する","有効アドミタンス比率","有効指数特性電力割合","有効電圧特性指数","無効アドミタンス比率","無効指数特性電力割合","無効電圧特性指数","電圧上限値の指定方法","電圧上限値","電圧下限値の指定方法","電圧下限値","プリント出力","グラフ出力"
77,"運用","","","3125","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
78,"運用","","","3126","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
79,"運用","","","3127","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
80,"運用","","","3128","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
81,"運用","","","3129","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
82,"運用","","","3130","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
83,"運用","","","3131","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
84,"運用","","","3132","階級2   500.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","525","一括設定","475","False","False"
85,"運用","","","3201","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
86,"運用","","","3202","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
87,"運用","","","3203","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
88,"運用","","","3204","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
89,"運用","","","3205","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
90,"運用","","","3207","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
91,"運用","","","3208","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
92,"運用","","","3209","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
93,"運用","","","3210","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
94,"運用","","","3211","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
95,"運用","","","3212","階級3   275.0 kV","False","False","考慮しない","","","","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
96,"運用","","","3213","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
97,"運用","","","3215","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
98,"運用","","","3301","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
99,"運用","","","3302","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
100,"運用","","","3303","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
101,"運用","","","3304","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
102,"運用","","","3305","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
103,"運用","","","3306","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
104,"運用","","","3307","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
105,"運用","","","3308","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
106,"運用","","","3309","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
107,"運用","","","3310","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
108,"運用","","","3312","階級3   275.0 kV","False","False","考慮しない","","","False","","","","","","","一括設定","288.75","一括設定","261.25","False","False"
